120314,Sampling depth,2.0
120322,Sampling depth,2.0
120328,Sampling depth,2.0
120403,Sampling depth,2.0
120416,Sampling depth,2.0
120419,Sampling depth,2.0
120423,Sampling depth,2.0
120507,Sampling depth,2.0
120516,Sampling depth,2.0
120521,Sampling depth,2.0
120531,Sampling depth,2.0
120604,Sampling depth,2.0
120613,Sampling depth,2.0
120619,Sampling depth,2.0
120628,Sampling depth,2.0
120705,Sampling depth,2.0
120709,Sampling depth,2.0
120717,Sampling depth,2.0
120802,Sampling depth,2.0
120806,Sampling depth,2.0
120813,Sampling depth,2.0
120820,Sampling depth,2.0
120823,Sampling depth,2.0
120828,Sampling depth,2.0
120903,Sampling depth,2.0
120910,Sampling depth,2.0
120920,Sampling depth,2.0
120924,Sampling depth,2.0
121001,Sampling depth,2.0
121004,Sampling depth,2.0
121015,Sampling depth,2.0
121022,Sampling depth,2.0
121028,Sampling depth,2.0
121105,Sampling depth,2.0
121123,Sampling depth,2.0
121128,Sampling depth,2.0
121220,Sampling depth,2.0
